PLA_CODE;SMP_DB_REAL;SMP_DE_REAL;SMP_D_ANALYSIS;POL_CODE;MEA_CODE;MEA_PHYSICAL_UNIT;MEA_VALUE;MEA_F_STATUS;JOB_TYPE;
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"PM";"PM";"g/m2*jour";"1.49288011024405E-02";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"As";"PM@As";"ug/m2*jour";"0.689021589343133";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cd";"PM@Cd";"ug/m2*jour";"0.430638493339458";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cr";"PM@Cr";"ug/m2*jour";"13.4933394579697";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Ni";"PM@Ni";"ug/m2*jour";"3.15801561782269";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Pb";"PM@Pb";"ug/m2*jour";"4.01929260450161";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Zn";"PM@Zn";"ug/m2*jour";"154.742765273312";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"PM";"PM";"g/m2*jour";"4.28992497320319E-02";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"As";"PM@As";"ug/m2*jour";"0.509110396570204";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cd";"PM@Cd";"ug/m2*jour";"6.43086816720257E-02";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cr";"PM@Cr";"ug/m2*jour";"11.5219721329046";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Ni";"PM@Ni";"ug/m2*jour";"3.21543408360129";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Pb";"PM@Pb";"ug/m2*jour";"2.27759914255091";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Zn";"PM@Zn";"ug/m2*jour";"61.6291532690246";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"PM";"PM";"g/m2*jour";"9.38574121299596E-02";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"As";"PM@As";"ug/m2*jour";"0.942454817607274";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cd";"PM@Cd";"ug/m2*jour";"0.582104446169198";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cr";"PM@Cr";"ug/m2*jour";"10.5333185497283";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Ni";"PM@Ni";"ug/m2*jour";"2.21754074731123";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Pb";"PM@Pb";"ug/m2*jour";"6.09823705510589";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Zn";"PM@Zn";"ug/m2*jour";"85.3753187714824";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"PM";"PM";"g/m2*jour";"0.115429059485543";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"As";"PM@As";"ug/m2*jour";"2.08500803858521";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cd";"PM@Cd";"ug/m2*jour";"0.351688102893891";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cr";"PM@Cr";"ug/m2*jour";"33.661575562701";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Ni";"PM@Ni";"ug/m2*jour";"4.77290996784566";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Pb";"PM@Pb";"ug/m2*jour";"11.5554662379421";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Zn";"PM@Zn";"ug/m2*jour";"111.032958199357";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"PM";"PM";"g/m2*jour";"6.73231511253878E-02";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"As";"PM@As";"ug/m2*jour";"6.53135048231511";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cd";"PM@Cd";"ug/m2*jour";"5.52652733118971";"A";"DATA_VALIDATE_TECH";
